Clay,StoneDust,OMC,MDD,PI,CBR
56.88,43.12,14.98,1.779,19.8,6.2
68.43,31.57,15.63,1.753,20.86,6.4
84.14,15.86,16.27,1.717,22.7,4.77
96.86,3.14,15.99,1.681,23.89,3.73
83.79,16.21,16.34,1.752,24.66,4.28
83.8,16.2,15.12,1.738,21.56,4.25
63.03,36.97,14.55,1.745,22.62,6.26
68.66,31.34,15.31,1.737,21.48,6.62
54.92,45.08,15.21,1.778,20.86,6.79
76.34,23.66,15.5,1.782,23.09,5.45
94.08,5.92,15.07,1.714,22.08,4
64.95,35.05,15.21,1.739,21.95,6.13
61.02,38.98,14.68,1.769,21.54,6.05
71.75,28.25,15.68,1.751,22.58,6.39
61.08,38.92,15.33,1.72,21.65,6.46
74.98,25.02,15.11,1.75,25.15,4.97
74.75,25.25,15.25,1.749,21.35,6.59
78.79,21.21,15.14,1.759,21.79,6.19
98.7,1.3,15.98,1.748,22.99,2.25
94.71,5.29,16.29,1.74,22.8,3.56
98.49,1.51,15.6,1.706,22.95,2.87
68.82,31.18,15.53,1.741,23.17,6.22
83.79,16.21,15.47,1.787,24.5,4.64
74.32,25.68,15.16,1.753,21.47,5.47
55.74,44.26,14.99,1.786,19.86,5.89
87.36,12.64,15.34,1.729,23.57,5.08
79.66,20.34,15.36,1.748,21.82,5.7
62.8,37.2,14.72,1.77,22.11,5.95
88.34,11.66,16.56,1.717,23.32,4.73
96.15,3.85,15.96,1.704,21.75,1.65
84.51,15.49,15.43,1.733,24.73,5.34
91.77,8.23,15.94,1.712,25.45,2.95
53.28,46.72,14.97,1.774,20.05,5.65
58.56,41.44,15.06,1.78,20.72,5.53
69.33,30.67,15.58,1.758,22.09,5.44
55.15,44.85,15.38,1.813,21.38,6.57
59.46,40.54,14.94,1.724,21.99,5.87
90.69,9.31,15.59,1.746,25.62,4.2
56.62,43.38,14.94,1.81,20.69,5.91
72.23,27.77,14.52,1.713,21.1,6.13
60.55,39.45,14.54,1.771,19.53,6.13
55.21,44.79,15.6,1.778,20.02,5.29
83.78,16.22,16.34,1.708,22.74,5.43
94.55,5.45,15.81,1.703,25.61,3.13
88.65,11.35,16.01,1.706,22.45,3.56
78.38,21.62,15.69,1.78,22.69,5.29
59.16,40.84,16.37,1.797,21.13,6.83
56.63,43.37,15.54,1.807,22.44,6.43
99.65,0.35,15.97,1.724,26.83,2.2
74.8,25.2,15.09,1.73,21.51,5.64
79.77,20.23,14.93,1.734,21.87,5.3
88.61,11.39,15.87,1.737,24.35,5.33
94.25,5.75,15.6,1.694,24.25,3.66
82.43,17.57,15.09,1.752,24.93,5.27
52.71,47.29,14.74,1.784,21.44,6.31
84.03,15.97,15.24,1.729,22.33,5.09
74.2,25.8,16.14,1.767,22.83,5.71
64.41,35.59,15.61,1.777,22.86,6.05
81.74,18.26,15.63,1.732,23.62,5.16
50.92,49.08,15.56,1.815,21.26,5.68
51.31,48.69,15.01,1.769,21.96,6.09
87.62,12.38,15.41,1.742,24.4,4.53
75.32,24.68,16.09,1.763,23.85,6.14
84.75,15.25,15.92,1.728,23.62,4.79
86.01,13.99,15.3,1.739,22.69,4.77
98.17,1.83,15.91,1.687,23.87,1.68
70.01,29.99,15.01,1.779,23.28,6.51
75.18,24.82,14.93,1.748,21.2,5.96
97.39,2.61,16.34,1.703,24.09,3.32
85.91,14.09,16.49,1.753,22.44,3.24
55.26,44.74,14.48,1.772,20.89,6.94
88.16,11.84,15.99,1.701,24.57,4.35
92.76,7.24,15.61,1.69,23.57,4.24
75.59,24.41,15.3,1.762,22.28,5.22
51.95,48.05,14.71,1.767,18.97,5.95
87.75,12.25,15.42,1.764,23.92,3.91
66.76,33.24,15.31,1.724,22.4,5.82
61.76,38.24,14.86,1.807,23.93,7.09
88.07,11.93,15.88,1.733,22.67,4.31
64.37,35.63,15.21,1.769,21.71,6.26
81.91,18.09,15.53,1.729,22.92,5.65
68.89,31.11,14.97,1.771,23.65,6.33
69.13,30.87,15.11,1.762,21.64,6.16
73.22,26.78,15.75,1.776,22.41,6.07
95.55,4.45,16.13,1.719,24.25,4.4
57.97,42.03,14.72,1.783,21.32,6.03
84.06,15.94,15.72,1.729,22.24,5.05
90.65,9.35,16.13,1.723,23.44,4.55
97.96,2.04,15.32,1.718,24.97,3.27
70.81,29.19,15.6,1.725,20.66,6.61
65.56,34.44,15.02,1.739,21.77,6.45
99.2,0.8,16.24,1.725,22.92,1.9
73.87,26.13,15.16,1.756,23.58,6.63
88.4,11.6,15.06,1.724,21.25,3.76
68.47,31.53,14.67,1.764,21.04,6.25
91.42,8.58,15.86,1.731,23.7,3.55
65.88,34.12,15.38,1.757,23.44,6.11
80.9,19.1,15.24,1.726,22.48,5.48
53.15,46.85,15.26,1.792,20.1,5.98
92.99,7.01,15.21,1.701,25.63,3.83
82.98,17.02,15.63,1.746,20.97,5.88
94.25,5.75,15.42,1.684,20.81,3.64
54.65,45.35,14.76,1.808,21.33,5.73
56,44,15.09,1.793,20.35,6.46
86.88,13.12,15.4,1.736,21.75,5.15
66.79,33.21,15.15,1.785,22.52,5.5
59.47,40.53,15.54,1.812,21.44,6.38
71.92,28.08,15.19,1.776,21.33,6.29
73.08,26.92,15.78,1.717,20.55,5.72
87.97,12.03,15.31,1.704,24.08,5.13
95.36,4.64,16.14,1.704,24.29,3.15
54.68,45.32,15.62,1.786,20.77,5.99
54.55,45.45,14.06,1.796,23.1,5.83
68.49,31.51,15.02,1.748,20.47,6.09
82.54,17.46,15.89,1.741,20.88,4.51
82.03,17.97,15.57,1.723,21.85,4.39
63.17,36.83,15.38,1.758,21.4,6.94
54.95,45.05,14.81,1.757,21.18,5.5
55.92,44.08,15.09,1.766,20.63,5.46
62.13,37.87,15.11,1.748,21.7,5.05
